SatelliteName,OperatorCountry,Users,Purpose,OrbitClass,OrbitType,Perigee,Apogee,Period,LaunchMass,DryMass,Power,LaunchDate,Current Date,Age,ContractorCountry,LaunchSite,LaunchVehicle
Aalto-1 ,Finland,Civil,Technology Development,LEO,None,497,517,94.7,5,,4.5,6/23/2017,6/5/2018,1,Finland,Satish Dhawan Space Centre,PSLV
AAUSat-4,Denmark,Civil,Earth Observation,LEO,Sun-Synchronous,442,687,95.9,1,,,4/25/2016,6/5/2018,3,Denmark,Guiana Space Center,Soyuz 2.1a
ABS-2,Multinational,Commercial,Communications,GEO,None,35778,35793,1436.03,"6,330",,"16,000",2/6/2014,6/5/2018,5,USA,Guiana Space Center,Ariane  5 ECA
ABS-2A,Multinational,Commercial,Communications,GEO,None,35700,35700,1436.1,"1,800",,,6/15/2016,6/5/2018,2,USA,Cape Canaveral,Falcon 9
ABS-3 ,Multinational,Commercial,Communications,GEO,None,35769,35802,1436.07,"3,775","1,800","9,000",8/19/1997,6/5/2018,21,USA,Xichang Satellite Launch Center,Long March CZ3B
ABS-3A ,Multinational,Commercial,Communications,GEO,None,35788,35803,1436,"2,000",,,3/2/2015,6/5/2018,4,USA,Cape Canaveral,Falcon 9
ABS-4 ,Multinational,Commercial,Communications,GEO,None,35780,35793,1436.1,"4,143","1,700","7,400",3/13/2004,6/5/2018,15,USA,Cape Canaveral,Atlas 3
ABS-6,Multinational,Commercial,Communications,GEO,None,35777,35794,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,6/5/2018,19,USA,Baikonur Cosmodrome,Proton
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Commercial,Communications,GEO,None,35780,35791,1436.06,"3,500","1,800","4,800",9/4/1999,6/5/2018,19,USA,Guiana Space Center,Ariane
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,Military,Earth Observation,GEO,None,35560,36013,1436.14,"4,500",,,5/9/1998,6/5/2018,21,USA,Cape Canaveral,Titan IVA
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,Military,Earth Observation,GEO,None,35589,35984,1436.1,"4,500",,,9/9/2003,6/5/2018,15,USA,Cape Canaveral,Titan IV
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,Military,Earth Observation,GEO,None,35714,35937,1438.8,"5,000",,,1/18/2009,6/5/2018,10,USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,Military,Earth Observation,GEO,None,35500,35500,1436,"5,000",,,11/21/2010,6/5/2018,8,USA,Cape Canaveral,Delta 4 Heavy
